subj_idx,response,participant_code,is_self,is_surprise,condition,rt
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.709
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.958
1,0.625841471729567,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,3
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.873
1,0,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.624
1,0,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.909
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.435
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.239
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.18
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.712
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.821
1,0,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.869
1,0,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.695
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.805
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,0.973
1,0,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.331
1,0,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.192
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.283
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.351
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.19
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.348
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,1.599
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.459
1,1,an_ta_1995_12_26_945_m,SELF,NOSURPRISE,CE,2.026
